	sIEC	colon	lb	ub
0	EX_34dhphe(e)	SK_34dhphe[e]	0	1000
1	EX_4HPRO(e)	SK_4hpro_LT[e]	0	1000
2	EX_5mthf(e)	SK_5mthf[e]	0	1000
3	EX_C8CRN	SK_c8crn[e]	0	1000
4	EX_Lcystin(e)	SK_cysi__L[e]	0	0
5	EX_SFCYS(e)	SK_slfcys[e]	0	1000
6	EX_adn(e)	SK_adn[e]	0	1000
7	EX_adocbl(e)	SK_adocbl[e]	0	1000
8	EX_ala_B(e)	SK_ala_B[e]	0	1000
9	EX_ala_D(e)	SK_ala__D[e]	0	1000
10	EX_ala_L(e)	SK_ala__L[e]	0	1000
11	EX_arg_L(e)	SK_arg__L[e]	0	1000
12	EX_ascb_L(e)	SK_ascb__L[e]	0	1000
13	EX_asn_L(e)	SK_asn__L[e]	0	1000
14	EX_asp_D(e)	SK_asp__D[e]	0	1000
15	EX_asp_L(e)	SK_asp__L[e]	0	1000
16	EX_avite1(e)	SK_avite1[e]	0	1000
17	EX_bildglcur(e)	SK_bildglcur[e]	0	1000
18	EX_btn(e)	SK_btn[e]	0	1000
19	EX_chol(e)	SK_chol[e]	0	1000
20	EX_cholate(e)	SK_cholate[e]	0	1000
21	EX_chsterol(e)	SK_chsterol[e]	0	1000
22	EX_cl(e)	SK_cl[e]	0	1000
23	EX_co(e)	SK_co[e]	0	1000
24	EX_co2(e)	SK_co2[e]	0	1000
25	EX_crn(e)	SK_crn[e]	0	1000
26	EX_cys_L(e)	SK_cys__L[e]	0	1000
27	EX_cytd(e)	SK_cytd[e]	0	1000
28	EX_dad_2(e)	SK_dad_2[e]	0	1000
29	EX_dcyt(e)	SK_dcyt[e]	0	1000
30	EX_dgsn(e)	SK_dgsn[e]	0	1000
31	EX_dhdascb(e)	SK_dhdascb[e]	0	0
32	EX_din(e)	SK_din[e]	0	1000
33	EX_duri(e)	SK_duri[e]	0	1000
34	EX_fe3(e)	SK_fe3[e]	0	1000
35	EX_fru(e)	SK_fru[e]	0	1000
36	EX_gal(e)	SK_gal[e]	0	1000
37	EX_gam(e)	SK_gam[e]	0	1000
38	EX_gchola(e)	SK_gchola[e]	0	1000
39	EX_glc(e)	SK_glc__D[e]	0	1000
40	EX_gln_L(e)	SK_gln__L[e]	0	1000
41	EX_glu_L(e)	SK_glu__L[e]	0	1000
42	EX_gly(e)	SK_gly[e]	0	1000
43	EX_gsn(e)	SK_gsn[e]	0	1000
44	EX_h(e)	SK_h[e]	0	1000
45	EX_h2o(e)	SK_h2o[e]	0	1000
46	EX_hco3(e)	SK_hco3[e]	-1	1000
47	EX_hdcea(e)	SK_hdcea[e]	0	1000
48	EX_his_L(e)	SK_his__L[e]	0	1000
49	EX_ile_L(e)	SK_ile__L[e]	0	1000
50	EX_ins(e)	SK_ins[e]	0	1000
51	EX_k(e)	SK_k[e]	0	1000
52	EX_lac_L(e)	SK_lac__L[e]	0	1000
53	EX_leu_L(e)	SK_leu__L[e]	0	1000
54	EX_lnlc(e)	SK_lnlc[e]	0	1000
55	EX_lnlnca(e)	SK_lnlnca[e]	0	1000
56	EX_lnlncg(e)	SK_lnlncg[e]	0	1000
57	EX_lpchol_hs(e)	SK_lpchol_hs[e]	0	1000
58	EX_lys_L(e)	SK_lys__L[e]	0	1000
59	EX_man(e)	SK_man[e]	0	1000
60	EX_met_L(e)	SK_met__L[e]	0	1000
61	EX_na1(e)	SK_na1[e]	0	1000
62	EX_nac(e)	SK_nac[e]	0	1000
63	EX_ncam(e)	SK_ncam[e]	0	1000
64	EX_o2(e)	SK_o2[e]	-1	1000
65	EX_ocdcea(e)	SK_ocdcea[e]	0	1000
66	EX_octa(e)	SK_octa[e]	0	1000
67	EX_orn(e)	SK_orn__L[e]	0	1000
68	EX_pchol_hs(e)	SK_pchol_hs[e]	0	1000
69	EX_phe_L(e)	SK_phe__L[e]	0	1000
70	EX_phyQ(e)	SK_phllqne[e]	0	1000
71	EX_pi(e)	SK_pi[e]	0	1000
72	EX_pnto_R(e)	SK_pnto__R[e]	0	1000
73	EX_pro-D(e)	SK_pro__D[e]	0	1000
74	EX_pro_L(e)	SK_pro__L[e]	0	1000
75	EX_ptrc(e)	SK_ptrc[e]	0	1000
76	EX_pydam(e)	SK_pydam[e]	0	1000
77	EX_pydx(e)	SK_pydx[e]	0	1000
78	EX_pydxn(e)	SK_pydxn[e]	0	1000
79	EX_q10h2(e)	SK_q10h2[e]	0	1000
80	EX_retn(e)	SK_retn[e]	0	1000
81	EX_rib_D(e)	SK_rib__D[e]	0	1000
82	EX_ribflv(e)	SK_ribflv[e]	0	1000
83	EX_sbt_D(e)	SK_sbt__D[e]	0	1000
84	EX_ser_L(e)	SK_ser__L[e]	0	1000
85	EX_spmd(e)	SK_spmd[e]	0	1000
86	EX_sprm(e)	SK_sprm[e]	0	1000
87	EX_tag_hs(e)	SK_tag_hs[e]	0	1000
88	EX_taur(e)	SK_taur[e]	0	1000
89	EX_tchola(e)	SK_tchola[e]	0	1000
90	EX_thm(e)	SK_thm[e]	0	1000
91	EX_thr_L(e)	SK_thr__L[e]	0	1000
92	EX_thymd(e)	SK_thymd[e]	0	1000
93	EX_trp_L(e)	SK_trp__L[e]	0	1000
94	EX_tyr_L(e)	SK_tyr__L[e]	0	1000
95	EX_urate(e)	SK_urate[e]	0	1000
96	EX_urea(e)	SK_urea[e]	0	1000
97	EX_uri(e)	SK_uri[e]	0	1000
98	EX_val_L(e)	SK_val__L[e]	0	1000
99	EX_vitd3(e)	SK_vitd3[e]	0	1000
100	EX_xolest2_hs(e)	SK_xolest2_hs[e]	0	1000
101	EX_xylt(e)	SK_xylt[e]	0	1000
102	EX_citr(e)	SK_citr_L[e]	0	1000
